trial_id,prompt_id,prompt_family,prompt_variant,backend,active_object_context,expected_outcome_type,expected_intent,expected_object_name,expected_target_label,expected_clarification,predicted_outcome_type,predicted_intent,predicted_object_name,predicted_target_label,predicted_clarification,exact_match,object_match,intent_match,target_match,clarification_match,error
0018_generic_hammer_target_a_default,generic_hammer_target_a_default,default_family_selection,generic_hammer_target_a,openai,mallet_hammer,command,execute_lie_trajectory,claw_hammer,strike_point_a,False,command,execute_lie_trajectory,claw_hammer,strike_point_a,False,True,True,True,True,True,
0019_generic_hammer_left_default,generic_hammer_left_default,default_family_selection,generic_hammer_left_side,openai,cuboid_hammer_v014,command,execute_lie_trajectory,claw_hammer,left_side_of_table,False,clarification,,,,True,False,False,False,False,False,
0020_specific_hammer_target_a,specific_hammer_target_a,target_grounding,named_hammer_target_a,openai,claw_hammer,command,execute_lie_trajectory,mallet_hammer,strike_point_a,False,command,execute_lie_trajectory,mallet_hammer,strike_point_a,False,True,True,True,True,True,
0021_specific_twist_default_target,specific_twist_default_target,default_family_selection,specific_screwdriver_default_target,openai,claw_hammer,command,execute_lie_trajectory,long_screwdriver,unspecified_target,False,command,execute_lie_trajectory,long_screwdriver,strike_point_a,False,False,True,True,False,True,
0022_generic_twist_target_a_default,generic_twist_target_a_default,default_family_selection,generic_twist_target_a,openai,short_screwdriver,command,execute_lie_trajectory,long_screwdriver,strike_point_a,False,command,execute_lie_trajectory,long_screwdriver,strike_point_a,False,True,True,True,True,True,
0023_generic_twist_left_default,generic_twist_left_default,default_family_selection,generic_twist_left_side,openai,cylinder_screwdriver_v3009,command,execute_lie_trajectory,long_screwdriver,left_side_of_table,False,command,execute_lie_trajectory,long_screwdriver,custom_xy,False,False,True,True,False,True,
0024_current_tool_target_default,current_tool_target_default,default_family_selection,current_tool_target_a,openai,short_screwdriver,command,execute_lie_trajectory,short_screwdriver,strike_point_a,False,command,execute_lie_trajectory,,strike_point_a,False,False,False,True,True,True,
0025_generic_screwdriver_default_target,generic_screwdriver_default_target,default_family_selection,generic_screwdriver_default_target,openai,short_screwdriver,command,execute_lie_trajectory,long_screwdriver,unspecified_target,False,command,execute_lie_trajectory,long_screwdriver,strike_point_a,False,False,True,True,False,True,
0026_target_grounding_right_side,target_grounding_right_side,target_grounding,right_side_table,openai,claw_hammer,command,execute_lie_trajectory,claw_hammer,right_side_of_table,False,command,execute_lie_trajectory,claw_hammer,custom_xy,False,False,True,True,False,True,
0027_target_grounding_custom_left,target_grounding_custom_left,target_grounding,left_side_table,openai,claw_hammer,command,execute_lie_trajectory,claw_hammer,left_side_of_table,False,command,execute_lie_trajectory,claw_hammer,custom_xy,False,False,True,True,False,True,
0028_target_grounding_short_screwdriver_a,target_grounding_short_screwdriver_a,target_grounding,short_screwdriver_target_a,openai,long_screwdriver,command,execute_lie_trajectory,short_screwdriver,strike_point_a,False,command,execute_lie_trajectory,short_screwdriver,strike_point_a,False,True,True,True,True,True,
0029_target_grounding_cylinder_right,target_grounding_cylinder_right,target_grounding,cylinder_screwdriver_right_side,openai,long_screwdriver,command,execute_lie_trajectory,cylinder_screwdriver_v3009,right_side_of_table,False,command,execute_lie_trajectory,cylinder_screwdriver_v3009,custom_xy,False,False,True,True,False,True,
0030_target_grounding_current_tool_a,target_grounding_current_tool_a,target_grounding,current_tool_target_a,openai,claw_hammer,command,execute_lie_trajectory,claw_hammer,strike_point_a,False,command,execute_lie_trajectory,,strike_point_a,False,False,False,True,True,True,
0031_target_grounding_mallet_left,target_grounding_mallet_left,target_grounding,mallet_left_side,openai,claw_hammer,command,execute_lie_trajectory,mallet_hammer,left_side_of_table,False,command,execute_lie_trajectory,mallet_hammer,custom_xy,False,False,True,True,False,True,
0032_target_grounding_cuboid_target_a,target_grounding_cuboid_target_a,target_grounding,cuboid_hammer_target_a,openai,claw_hammer,command,execute_lie_trajectory,cuboid_hammer_v014,strike_point_a,False,command,execute_lie_trajectory,cuboid_hammer_v014,strike_point_a,False,True,True,True,True,True,
0033_predefined_keep_current,predefined_keep_current,lifecycle_and_predefined_commands,predefined_keep_current,openai,short_screwdriver,command,execute_predefined_swing,short_screwdriver,predefined_motion,False,command,execute_predefined_swing,short_screwdriver,predefined_motion,False,True,True,True,True,True,
0034_predefined_explicit_object,predefined_explicit_object,lifecycle_and_predefined_commands,predefined_explicit_object,openai,claw_hammer,command,execute_predefined_swing,cuboid_hammer_v014,predefined_motion,False,command,execute_predefined_swing,cuboid_hammer_v014,predefined_motion,False,True,True,True,True,True,
0035_predefined_explicit_screwdriver,predefined_explicit_screwdriver,lifecycle_and_predefined_commands,predefined_explicit_screwdriver,openai,claw_hammer,command,execute_predefined_swing,long_screwdriver,predefined_motion,False,command,execute_predefined_swing,long_screwdriver,predefined_motion,False,True,True,True,True,True,
0036_semantic_pose_request,semantic_pose_request,semantic_pose_edits,upright_pose_edit,openai,long_screwdriver,command,move_tool,long_screwdriver,upright,False,command,move_tool,long_screwdriver,upright,False,True,True,True,True,True,
0037_grasp_tool,grasp_tool,lifecycle_and_predefined_commands,grasp_active_tool,openai,claw_hammer,command,grasp_tool,claw_hammer,,False,command,grasp_tool,claw_hammer,,False,True,True,True,True,True,
0038_release_tool,release_tool,lifecycle_and_predefined_commands,release_active_tool,openai,claw_hammer,command,release_tool,claw_hammer,,False,command,release_tool,claw_hammer,,False,True,True,True,True,True,
0039_generate_task_goals,generate_task_goals,lifecycle_and_predefined_commands,set_task_goals,openai,claw_hammer,goals,set_goals,claw_hammer,swing_down,False,command,execute_lie_trajectory,claw_hammer,strike_point_a,False,False,True,False,False,True,
0040_generate_task_goals_paraphrase,generate_task_goals_paraphrase,lifecycle_and_predefined_commands,generate_swing_goals,openai,claw_hammer,goals,set_goals,claw_hammer,swing_down,False,goals,set_goals,claw_hammer,swing_down,False,True,True,True,True,True,
0041_semantic_pose_request_flat,semantic_pose_request_flat,semantic_pose_edits,flat_pose_edit,openai,long_screwdriver,command,move_tool,long_screwdriver,flat,False,command,move_tool,long_screwdriver,flat,False,True,True,True,True,True,
0042_semantic_pose_request_head_down,semantic_pose_request_head_down,semantic_pose_edits,head_down_pose_edit,openai,claw_hammer,command,move_tool,claw_hammer,head_down,False,command,move_tool,claw_hammer,head_down,False,True,True,True,True,True,
0043_semantic_pose_request_tip_forward,semantic_pose_request_tip_forward,semantic_pose_edits,tip_forward_pose_edit,openai,long_screwdriver,command,move_tool,long_screwdriver,tip_forward,False,command,move_tool,long_screwdriver,tip_forward,False,True,True,True,True,True,
0044_semantic_pose_request_face_table,semantic_pose_request_face_table,semantic_pose_edits,face_table_pose_edit,openai,cuboid_hammer_v014,command,move_tool,cuboid_hammer_v014,face_table,False,command,move_tool,cuboid_hammer_v014,face_table,False,True,True,True,True,True,
0045_unsupported_out_of_scope_real_robot,unsupported_out_of_scope_real_robot,unsupported_or_out_of_scope,real_robot_request,openai,claw_hammer,text,,,,False,text,,,,False,True,True,True,True,True,
0046_unsupported_out_of_scope_explanation,unsupported_out_of_scope_explanation,unsupported_or_out_of_scope,explain_training_history,openai,claw_hammer,text,,,,False,text,,,,False,True,True,True,True,True,
0047_unsupported_out_of_scope_web_request,unsupported_out_of_scope_web_request,unsupported_or_out_of_scope,open_external_application,openai,long_screwdriver,text,,,,False,clarification,,,,True,False,True,True,True,False,
0048_unsupported_out_of_scope_training_request,unsupported_out_of_scope_training_request,unsupported_or_out_of_scope,train_new_policy,openai,claw_hammer,text,,,,False,text,,,,False,True,True,True,True,True,
0049_unsupported_out_of_scope_delete_results,unsupported_out_of_scope_delete_results,unsupported_or_out_of_scope,delete_experiment_results,openai,claw_hammer,text,,,,False,text,,,,False,True,True,True,True,True,
